;;;;;;;;
Model;MSE;MAE;MAPE;R2_Score;Accuracy;Avg_precision;Avg_recall;Avg_f1_score
lin_reg_rain;21.31;2.71;3012463523105789.0;0.18;0.44;0.47;0.49;0.42
lin_reg_rain_log;18.36;2.06;1494003623307454.5;0.29;0.51 ;0.46      ;0.51;0.43
lasso_rain;20.13;2.48;2685508596512428.0;0.23;0.45       ;0.55      ;0.48      ;0.39       
lasso_rain_log;19.96;2.02;1342118209495518.2;0.23;0.50       ;0.36      ;0.49      ;0.41       
ridge_rain;20.31;2.5;2734181685333767.0;0.22;0.45       ;0.52      ;0.49      ;0.38       
ridge_rain_log;18.55;2.03;1456739163201788.8;0.29;0.54       ;0.59      ;0.53      ;0.45       
elastic_net;20.2;2.49;2695997953841904.0;0.22;0.45       ;0.55      ;0.48      ;0.39       
elastic_net_log;19.95;2.01;1340408312436011.0;0.23;0.51       ;0.37      ;0.49      ;0.41       
poisson;19.13;2.53;2402814485053989.5;0.26;0.43       ;0.28      ;0.45      ;0.34       
poisson_pen;18.09;2.42;2560581532952368.0;0.3;0.44       ;0.29      ;0.46      ;0.35       
gamma;18.12;2.38;2241305606891828.5;0.3;0.49       ;0.33      ;0.51      ;0.40       
tweedie_eps;17.52;2.32;2306044107209599.0;0.33;0.51       ;0.52      ;0.53      ;0.45       
tweedie;17.52;2.32;2306044107209599.0;0.33;0.49      ;0.32      ;0.50      ;0.39       
svm_lin;23.23;2.06;1033653042433951.0;0.11;0.50       ;0.53      ;0.47      ;0.45       
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
